fuente,archivo,filas,sha256,descargado,licencia,periodo
supertransporte_5r3g-zv5z,trafico_portuario_buenaventura.csv,508,ab184edc79ff9fb3eac001760fed397ec152b487e34b7e7668694d542b01754b,2026-08-06,CC BY-SA 4.0,2018-01 a 2026-06
dane_impo,serie_mensual_aduanera_v4.parquet,173,4cc1e0784121f0e4e8be1478e8f4787034302990bcb6215a7ddf40fdf9f63b0a,2026-08-06,datos abiertos,2012-01 a 2026-05
