sociedad_portuaria,ultimo_anio_con_reporte,aparece_en_2026,advertencia
COMPANIA DE PUERTOS ASOCIADOS S.A.,2025,False,"La fuente registra reporte, no operación. Solo puede afirmarse que no aparece reportando en los seis meses observados de 2026."
GRUPO PORTUARIO S.A,2025,False,"La fuente registra reporte, no operación. Solo puede afirmarse que no aparece reportando en los seis meses observados de 2026."
