lag,correlacion,n,banda_95,significativa,usable_sin_fuga
0,0.1154007338205648,100,0.196,False,False
1,-0.16345555978479454,99,0.19698741179080556,False,True
2,0.06917393410380919,98,0.1979898987322333,False,True
3,-0.04289720223103991,97,0.19900784836618934,False,True
4,-0.01467889749445576,96,0.2000416623272929,False,True
5,0.13010060948195418,95,0.20109175700869023,False,True
6,-0.19229453206834812,94,0.2021585642667235,False,True
