objetivo,modelo,wape_pct,sesgo_rel_pct,error_maximo,mase_12
toneladas_totales,ridge,6.6126919502298325,0.6356539883798814,478517.0476046102,0.5400828748711756
toneladas_totales,hgb,7.860320848168553,2.153272578128336,626872.78006796,0.6419813160873404
toneladas_totales,naive_1,9.174493454118902,0.254318224577237,583602.0,0.7493146267028366
toneladas_totales,drift,9.239462956161107,0.41271178739696895,585969.972222222,0.7546209249102834
toneladas_totales,naive_12,12.838231460203911,7.594310568111474,814613.0,1.0485455858937311
ton_contenerizada,naive_1,8.55267179979776,0.41102228928759843,316843.0,0.5861719731096283
ton_contenerizada,drift,8.559461168170781,0.591527329016549,318112.91666666674,0.5866372940699714
ton_contenerizada,ridge,9.449742344860638,1.3670794198682046,327970.9064434208,0.6476542354630687
ton_contenerizada,hgb,10.81740424048854,1.1127121422626367,332867.98923305934,0.7413892799816737
ton_contenerizada,naive_12,17.058150472244886,11.459579520948573,569898.0,1.1691094846119505
