mes,variable,valor,z_robusto,fuera_iqr,decision
2018-08,toneladas_totales,2985112.0,4.749530639075503,True,pendiente de investigar
2019-08,toneladas_totales,836056.0,-2.873299236159499,True,pendiente de investigar
2021-06,toneladas_totales,930807.0,-2.537211784967724,True,pendiente de investigar
