fuente,filas,periodo,descargado,licencia,sha256_contenido
supertransporte_5r3g-zv5z,508,2018-01 a 2026-06,2026-08-06,CC BY-SA 4.0,81d9eb3e7accd91a
dane_impo (serie mensual),173,2012-01 a 2026-05,2026-08-06,Datos abiertos,bcfd265a97364760
