index,mean,50%,min,max
cif_usd,1182063397.2904625,1051123993.22,693549752.38,1980453263.87
peso_neto_kg,953601266.730636,937738618.09,588586867.36,1352641712.16
cif_kg,1.2368201945724142,1.2077085525264613,0.6974756101798169,1.7997783812136456
