mes,cif_kg
2012-01-01,1.205900370900582
2012-02-01,1.159301923617046
2012-03-01,1.2077085525264613
2012-04-01,1.4067018604157098
2012-05-01,1.3222073625248083
2012-06-01,1.2243971882324314
2012-07-01,1.268306463194034
2012-08-01,1.2999109933465236
2012-09-01,1.3616252252838172
2012-10-01,1.4428468522197284
2012-11-01,1.1263184903150665
2012-12-01,1.3070156419304302
2013-01-01,1.1864703494661968
2013-02-01,1.2100519534686145
2013-03-01,1.4279968759410342
2013-04-01,1.1575558486303132
2013-05-01,1.401359848806217
2013-06-01,1.287565287471823
2013-07-01,1.2014389181188323
2013-08-01,1.1931901820726722
2013-09-01,1.2017006295424273
2013-10-01,1.2637402508660212
2013-11-01,1.2695719114006752
2013-12-01,1.2605425612489705
2014-01-01,1.3053797639283424
2014-02-01,1.2432400578136236
2014-03-01,1.0217739212739834
2014-04-01,1.011093421222666
2014-05-01,1.196993148495643
2014-06-01,1.2059098211565176
2014-07-01,1.4079411920620075
2014-08-01,1.2629946160876533
2014-09-01,1.2962852934636375
2014-10-01,1.3625417663952968
2014-11-01,1.3576174751171677
2014-12-01,1.416076515040703
2015-01-01,1.01633521242863
2015-02-01,1.22850900779196
2015-03-01,1.141246942966174
2015-04-01,1.1408469244287625
2015-05-01,0.917254825452368
2015-06-01,1.1294775021142214
2015-07-01,1.1038590153601338
2015-08-01,0.9805639896749156
2015-09-01,1.009074806327199
2015-10-01,1.0004546718652954
2015-11-01,1.0115196752091828
2015-12-01,0.9987998527945688
2016-01-01,0.8369609254574266
2016-02-01,0.8887362999745616
2016-03-01,0.8666657398753647
2016-04-01,0.6974756101798169
2016-05-01,1.0083844365774748
2016-06-01,1.2131126894811295
2016-07-01,1.1069569522764784
2016-08-01,1.0052362162947217
2016-09-01,0.9915171201579084
2016-10-01,0.945177762160856
2016-11-01,0.949764088865662
2016-12-01,1.1325358986259135
2017-01-01,0.9880300183632668
2017-02-01,0.8587474197067881
2017-03-01,0.8633756870752105
2017-04-01,0.8403190566197293
2017-05-01,1.1895551753551268
2017-06-01,1.028209348072302
2017-07-01,1.13362090001963
2017-08-01,1.0801034104078762
2017-09-01,1.085566706577605
2017-10-01,1.1124286480771848
2017-11-01,1.017975987803904
2017-12-01,1.1898461457725495
2018-01-01,0.9842881474600118
2018-02-01,1.1110973794719854
2018-03-01,0.9597870853434988
2018-04-01,0.9513573339014656
2018-05-01,1.090717029760854
2018-06-01,1.1777228692670674
2018-07-01,1.1247286638735925
2018-08-01,1.1118104598766891
2018-09-01,1.3218780514026307
2018-10-01,1.30688727968957
2018-11-01,1.1176426147650729
2018-12-01,1.2044709764552657
2019-01-01,0.9255060819381288
2019-02-01,1.1661129003985071
2019-03-01,1.075263913035384
2019-04-01,1.039486056853197
2019-05-01,1.1284641279417156
2019-06-01,1.0224897087750404
2019-07-01,1.1348495908948004
2019-08-01,0.9323805996446036
2019-09-01,1.1012519498964273
2019-10-01,1.141613325972446
2019-11-01,1.0186293853390622
2019-12-01,1.0984416047006642
2020-01-01,0.9683678164180956
2020-02-01,1.0456454565032798
2020-03-01,1.007386108404932
2020-04-01,0.8375928685593856
2020-05-01,0.7588249445060803
2020-06-01,0.894870658322049
2020-07-01,1.178383330688866
2020-08-01,1.0684873338073506
2020-09-01,1.0476020121018643
2020-10-01,1.1078094685056974
2020-11-01,1.1451961448202537
2020-12-01,1.1341720254194856
2021-01-01,1.203419681146075
2021-02-01,1.2127897331551585
2021-03-01,1.1296412143398855
2021-04-01,1.1827147703989616
2021-05-01,1.426710029228606
2021-06-01,1.2311126006368116
2021-07-01,1.1792440407375302
2021-08-01,1.3861017368173774
2021-09-01,1.5905615798948407
2021-10-01,1.3533479988198849
2021-11-01,1.6466390009466327
2021-12-01,1.6487208722807345
2022-01-01,1.7833611077329303
2022-02-01,1.7891216678682793
2022-03-01,1.5122778209302314
2022-04-01,1.5475495915046158
2022-05-01,1.632974443679885
2022-06-01,1.674711913036511
2022-07-01,1.7997783812136456
2022-08-01,1.6825929181025474
2022-09-01,1.7382227212537007
2022-10-01,1.6605294179205148
2022-11-01,1.650880610583822
2022-12-01,1.5169968638922422
2023-01-01,1.6891228145929866
2023-02-01,1.4309722363351158
2023-03-01,1.2455780480345169
2023-04-01,1.0893447610917408
2023-05-01,1.3491868707768089
2023-06-01,1.5387547393507697
2023-07-01,1.3558507286392836
2023-08-01,1.227164698441289
2023-09-01,1.235902269166404
2023-10-01,1.3408509295813371
2023-11-01,1.4407945796354773
2023-12-01,1.3106226077520529
2024-01-01,1.2740282420474518
2024-02-01,1.36424291093775
2024-03-01,1.1889609164456838
2024-04-01,1.3364520608149697
2024-05-01,1.2643617561005491
2024-06-01,1.3584218214081996
2024-07-01,1.477276921480266
2024-08-01,1.4391568985751055
2024-09-01,1.510753489653204
2024-10-01,1.5005521493970937
2024-11-01,1.3757391190101755
2024-12-01,1.34850713862787
2025-01-01,1.4086053066004995
2025-02-01,1.3137875962571492
2025-03-01,1.2950596220322566
2025-04-01,1.3088830096053925
2025-05-01,1.3741578078590226
2025-06-01,1.345186666012246
2025-07-01,1.6183405739555965
2025-08-01,1.4953570857051055
2025-09-01,1.37614984128145
2025-10-01,1.455457484064868
2025-11-01,1.5436489849332
2025-12-01,1.386986626857381
2026-01-01,1.3859868987755375
2026-02-01,1.4867354051768011
2026-03-01,1.5174579899570888
2026-04-01,1.4346779524424804
2026-05-01,1.72008287698944
