anno_vigencia,mes_vigencia,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
2020,2,GENERAL,96834,0,19
2020,2,GRANEL LIQUIDO,34914,0,0
2020,2,GRANEL SOLIDO DIFER. DE CARBON,457456,0,0
2020,3,CARBON AL GRANEL,0,39739,0
2020,3,CONTENEDORES,402869,264133,66456
2020,3,GENERAL,84206,186,0
2020,3,GRANEL LIQUIDO,65469,0,0
2020,3,GRANEL SOLIDO DIFER. DE CARBON,464566,9500,0
2020,4,CARBON AL GRANEL,0,61300,0
2020,4,CONTENEDORES,475540,214575,62773
2020,4,GENERAL,57196,62,0
2020,4,GRANEL LIQUIDO,54664,5000,0
2020,4,GRANEL SOLIDO DIFER. DE CARBON,545094,0,0
2020,5,CARBON AL GRANEL,18244,67678,0
2020,5,CONTENEDORES,387524,240550,60910
2020,5,GENERAL,80177,0,0
2020,5,GRANEL LIQUIDO,71819,6159,0
2020,5,GRANEL SOLIDO DIFER. DE CARBON,548047,0,0
2020,6,CARBON AL GRANEL,28665,61035,0
2020,6,CONTENEDORES,330283,226289,40383
2020,6,GENERAL,45857,38259,0
2020,6,GRANEL LIQUIDO,49374,0,0
2020,6,GRANEL SOLIDO DIFER. DE CARBON,555113,18171,0
2020,7,CARBON AL GRANEL,0,35783,0
2020,7,CONTENEDORES,404392,247590,46988
2020,7,GENERAL,43983,27,0
2020,7,GRANEL LIQUIDO,41431,0,0
2020,7,GRANEL SOLIDO DIFER. DE CARBON,327887,0,0
2020,8,CARBON AL GRANEL,0,67853,0
2020,8,CONTENEDORES,441691,296872,42263
2020,8,GENERAL,32833,97,0
2020,8,GRANEL LIQUIDO,41915,12226,0
2020,8,GRANEL SOLIDO DIFER. DE CARBON,484472,0,0
2020,9,CARBON AL GRANEL,0,174589,0
2020,9,CONTENEDORES,406962,260956,45700
2020,9,GENERAL,55404,808,69
2020,9,GRANEL LIQUIDO,34922,0,0
2020,9,GRANEL SOLIDO DIFER. DE CARBON,472324,10000,0
2020,10,CARBON AL GRANEL,0,137854,0
2020,10,CONTENEDORES,476353,316070,44013
2020,10,GENERAL,56405,126,267
2020,10,GRANEL LIQUIDO,34131,5140,0
2020,10,GRANEL SOLIDO DIFER. DE CARBON,424705,0,0
2020,11,CARBON AL GRANEL,0,0,0
2020,11,CONTENEDORES,509667,304174,42173
2020,11,GENERAL,73547,727,409
2020,11,GRANEL LIQUIDO,31679,9,0
2020,11,GRANEL SOLIDO DIFER. DE CARBON,433598,10000,0
2020,12,CARBON AL GRANEL,0,127632,0
2020,12,CONTENEDORES,506329,309085,122567
2020,12,GENERAL,111192,14,1644
2020,12,GRANEL LIQUIDO,47056,8570,0
2020,12,GRANEL SOLIDO DIFER. DE CARBON,470205,0,0
2021,1,CARBON AL GRANEL,0,48923,0
2021,1,CONTENEDORES,448625,223305,109607
2021,1,GENERAL,106497,220,1188
2021,1,GRANEL LIQUIDO,38850,3499,0
2021,1,GRANEL SOLIDO DIFER. DE CARBON,459208,9000,0
2021,2,CARBON AL GRANEL,0,147989,0
2021,2,CONTENEDORES,525724,315910,79834
2021,2,GENERAL,112028,119,4381
2021,2,GRANEL LIQUIDO,36851,0,0
2021,2,GRANEL SOLIDO DIFER. DE CARBON,413112,0,0
2021,3,CARBON AL GRANEL,0,79894,0
2021,3,CONTENEDORES,507123,274063,28330
2021,3,GENERAL,134939,22267,645
2021,3,GRANEL LIQUIDO,23315,0,0
2021,3,GRANEL SOLIDO DIFER. DE CARBON,546351,10000,0
2021,4,CARBON AL GRANEL,0,0,0
2021,4,CONTENEDORES,510134,268641,40646
2021,4,GENERAL,76157,158,12227
2021,4,GRANEL LIQUIDO,42420,0,0
2021,4,GRANEL SOLIDO DIFER. DE CARBON,575796,0,0
2021,5,CARBON AL GRANEL,111491,80326,0
2021,5,CONTENEDORES,520248,86757,118312
2021,5,GENERAL,163144,37,0
2021,5,GRANEL LIQUIDO,46253,3952,0
2021,5,GRANEL SOLIDO DIFER. DE CARBON,257234,9500,0
2021,6,CARBON AL GRANEL,0,0,0
2021,6,CONTENEDORES,324270,109300,6843
2021,6,GENERAL,63669,0,0
2021,6,GRANEL LIQUIDO,25530,0,0
2021,6,GRANEL SOLIDO DIFER. DE CARBON,394016,0,7179
2021,7,CARBON AL GRANEL,0,37890,0
2021,7,CONTENEDORES,312475,262100,24051
2021,7,GENERAL,218169,0,0
2021,7,GRANEL LIQUIDO,33355,0,0
2021,7,GRANEL SOLIDO DIFER. DE CARBON,496201,0,0
2021,8,CARBON AL GRANEL,0,91639,0
2021,8,CONTENEDORES,403958,303173,23335
2021,8,GENERAL,126402,92,19
2021,8,GRANEL LIQUIDO,38324,13242,0
2021,8,GRANEL SOLIDO DIFER. DE CARBON,425672,10500,0
2021,9,CARBON AL GRANEL,0,0,0
2021,9,CONTENEDORES,475562,219418,22865
2021,9,GENERAL,97102,10,369
2021,9,GRANEL LIQUIDO,50925,0,0
2021,9,GRANEL SOLIDO DIFER. DE CARBON,416505,7000,0
2021,10,CARBON AL GRANEL,78005,110887,0
2021,10,CONTENEDORES,580782,230694,65545
2021,10,GENERAL,121351,552,7160
2021,10,GRANEL LIQUIDO,47692,7710,0
2021,10,GRANEL SOLIDO DIFER. DE CARBON,505941,0,0
2021,11,CARBON AL GRANEL,0,111313,0
2021,11,CONTENEDORES,513221,232871,45908
2021,11,GENERAL,139978,7005,3890
